linija,vozilo,smjer,okretište,vrijeme,trajanje,red
1,B101,od,Pešija,14:02,10,dnevni
1,B101,od,Pešija,14:27,10,dnevni
1,B101,od,Pešija,14:50,10,dnevni
1,B101,od,Pešija,15:10,10,dnevni
1,B101,od,Pešija,15:30,10,dnevni
1,B101,od,Pešija,15:50,10,dnevni
1,B101,od,Pešija,16:10,10,dnevni
1,B101,od,Pešija,16:30,10,dnevni
1,B101,od,Pešija,16:50,10,dnevni
1,B101,od,Pešija,17:12,10,dnevni
1,B101,od,Pešija,17:37,10,dnevni
1,B101,od,Pešija,18:02,10,dnevni
1,B101,od,Pešija,18:27,10,dnevni
1,B101,od,Pešija,18:52,10,dnevni
1,B101,od,Pešija,19:17,10,dnevni
1,B101,od,Pešija,19:42,10,dnevni
1,B101,od,Pešija,20:07,10,dnevni
1,B101,od,Pešija,20:32,10,dnevni
1,B101,od,Pešija,20:57,10,dnevni
1,B101,od,Pešija,21:22,10,dnevni
1,B101,od,Pešija,21:47,10,dnevni
1,B101,od,Pešija,22:12,10,dnevni
1,B101,od,Pešija,22:37,10,dnevni
1,B101,od,Pešija,23:02,10,dnevni
1,B102,od,Dubrava,06:49,10,dnevni
1,B102,od,Dubrava,07:10,10,dnevni
1,B102,od,Dubrava,07:31,10,dnevni
1,B102,od,Dubrava,07:52,10,dnevni
1,B102,od,Dubrava,08:13,10,dnevni
1,B102,od,Dubrava,08:37,10,dnevni
1,B102,od,Dubrava,09:02,10,dnevni
1,B102,od,Dubrava,09:27,10,dnevni
1,B102,od,Dubrava,09:52,10,dnevni
1,B102,od,Dubrava,10:17,10,dnevni
1,B102,od,Dubrava,10:42,10,dnevni
1,B102,od,Dubrava,11:07,10,dnevni
1,B102,od,Dubrava,11:32,10,dnevni
1,B102,od,Dubrava,11:57,10,dnevni
1,B102,od,Dubrava,12:22,10,dnevni
1,B102,od,Dubrava,12:47,10,dnevni
1,B102,od,Dubrava,13:12,10,dnevni
1,B102,od,Dubrava,13:37,10,dnevni
1,B102,od,Dubrava,14:02,10,dnevni
1,B102,od,Dubrava,14:27,10,dnevni
1,B102,od,Dubrava,14:50,10,dnevni
1,B102,od,Dubrava,15:10,10,dnevni
1,B102,od,Dubrava,15:30,10,dnevni
1,B102,od,Dubrava,15:50,10,dnevni
1,B102,od,Dubrava,16:10,10,dnevni
1,B102,od,Dubrava,16:30,10,dnevni
1,B102,od,Dubrava,16:50,10,dnevni
1,B102,od,Dubrava,17:12,10,dnevni
1S,B102,prema,Pešija,06:34,4,dnevni
1,B102,od,Pešija,06:39,10,dnevni
1,B102,od,Pešija,07:00,10,dnevni
1,B102,od,Pešija,07:21,10,dnevni
1,B102,od,Pešija,07:42,10,dnevni
1,B102,od,Pešija,08:03,10,dnevni
1,B102,od,Pešija,08:25,10,dnevni
1,B102,od,Pešija,08:50,10,dnevni
1,B102,od,Pešija,09:15,10,dnevni
1,B102,od,Pešija,09:40,10,dnevni
1,B102,od,Pešija,10:05,10,dnevni
1,B102,od,Pešija,10:30,10,dnevni
1,B102,od,Pešija,10:55,10,dnevni
1,B102,od,Pešija,11:20,10,dnevni
1,B102,od,Pešija,11:45,10,dnevni
1,B102,od,Pešija,12:10,10,dnevni
1,B102,od,Pešija,12:35,10,dnevni
1,B102,od,Pešija,13:00,10,dnevni
1,B102,od,Pešija,13:25,10,dnevni
1,B102,od,Pešija,13:50,10,dnevni
1,B102,od,Pešija,14:15,10,dnevni
1,B102,od,Pešija,14:40,10,dnevni
1,B102,od,Pešija,15:00,10,dnevni
1,B102,od,Pešija,15:20,10,dnevni
1,B102,od,Pešija,15:40,10,dnevni
1,B102,od,Pešija,16:00,10,dnevni
1,B102,od,Pešija,16:20,10,dnevni
1,B102,od,Pešija,16:40,10,dnevni
1,B102,od,Pešija,17:00,10,dnevni
1S,B102,od,Pešija,17:25,4,dnevni
2S,B201,prema,Krštelica,05:08,5,dnevni
2,B201,od,Krštelica,05:15,8,dnevni
2,B201,od,Krštelica,05:35,8,dnevni
2,B201,od,Krštelica,05:55,8,dnevni
2,B201,od,Krštelica,06:15,8,dnevni
2,B201,od,Krštelica,06:35,8,dnevni
2,B201,od,Krštelica,06:55,8,dnevni
2,B201,od,Krštelica,07:15,8,dnevni
2,B201,od,Krštelica,07:31,8,dnevni
2,B201,od,Krštelica,07:47,8,dnevni
2,B201,od,Krštelica,08:03,8,dnevni
2,B201,od,Krštelica,08:19,8,dnevni
2,B201,od,Krštelica,08:38,8,dnevni
2,B201,od,Krštelica,09:00,8,dnevni
2,B201,od,Krštelica,09:20,8,dnevni
2,B201,od,Krštelica,09:40,8,dnevni
2,B201,od,Krštelica,10:00,8,dnevni
2,B201,od,Krštelica,10:20,8,dnevni
2,B201,od,Krštelica,10:40,8,dnevni
2,B201,od,Krštelica,11:00,8,dnevni
2,B201,od,Krštelica,11:20,8,dnevni
2,B201,od,Krštelica,11:40,8,dnevni
2,B201,od,Krštelica,12:00,8,dnevni
2,B201,od,Krštelica,12:20,8,dnevni
2,B201,od,Krštelica,12:40,8,dnevni
2,B201,od,Krštelica,13:00,8,dnevni
2,B201,od,Krštelica,13:20,8,dnevni
2,B201,od,Krštelica,13:40,8,dnevni
2,B201,od,Krštelica,14:00,8,dnevni
2,B201,od,Krštelica,14:20,8,dnevni
2,B201,od,Krštelica,14:40,8,dnevni
2,B201,od,Krštelica,15:00,8,dnevni
2,B201,od,Krštelica,15:16,8,dnevni
2,B201,od,Krštelica,15:32,8,dnevni
2,B201,od,Krštelica,15:48,8,dnevni
2,B201,od,Krštelica,16:04,8,dnevni
2,B201,od,Krštelica,16:20,8,dnevni
2,B201,od,Krštelica,16:36,8,dnevni
2,B201,od,Krštelica,16:52,8,dnevni
2,B201,od,Krštelica,17:10,8,dnevni
2,B201,od,Krštelica,17:30,8,dnevni
2,B201,od,Krštelica,17:50,8,dnevni
2,B201,od,Krštelica,18:10,8,dnevni
2,B201,od,Krštelica,18:30,8,dnevni
2,B201,od,Krštelica,18:50,8,dnevni
2,B201,od,Krštelica,19:10,8,dnevni
2,B201,od,Krštelica,19:30,8,dnevni
2,B201,od,Krštelica,19:50,8,dnevni
2,B201,od,Krštelica,20:10,8,dnevni
2,B201,od,Krštelica,20:30,8,dnevni
2,B201,od,Krštelica,20:50,8,dnevni
2,B201,od,Krštelica,21:10,8,dnevni
2,B201,od,Krštelica,21:30,8,dnevni
2,B201,od,Krštelica,21:50,8,dnevni
2,B201,od,Krštelica,22:10,8,dnevni
2,B201,od,Krštelica,22:30,8,dnevni
2,B201,od,Krštelica,22:50,8,dnevni
2S,B201,od,Krštelica,23:10,5,dnevni
2,B201,od,Pešija,05:25,8,dnevni
2,B201,od,Pešija,05:45,8,dnevni
2,B201,od,Pešija,06:05,8,dnevni
2,B201,od,Pešija,06:25,8,dnevni
2,B201,od,Pešija,06:45,8,dnevni
2,B201,od,Pešija,07:05,8,dnevni
2,B201,od,Pešija,07:23,8,dnevni
2,B201,od,Pešija,07:39,8,dnevni
2,B201,od,Pešija,07:55,8,dnevni
2,B201,od,Pešija,08:11,8,dnevni
2,B201,od,Pešija,08:28,8,dnevni
2,B201,od,Pešija,08:49,8,dnevni
2,B201,od,Pešija,09:10,8,dnevni
2,B201,od,Pešija,09:30,8,dnevni
2,B201,od,Pešija,09:50,8,dnevni
2,B201,od,Pešija,10:10,8,dnevni
2,B201,od,Pešija,10:30,8,dnevni
2,B201,od,Pešija,10:50,8,dnevni
2,B201,od,Pešija,11:10,8,dnevni
2,B201,od,Pešija,11:30,8,dnevni
2,B201,od,Pešija,11:50,8,dnevni
2,B201,od,Pešija,12:10,8,dnevni
2,B201,od,Pešija,12:30,8,dnevni
2,B201,od,Pešija,12:50,8,dnevni
2,B201,od,Pešija,13:10,8,dnevni
2,B201,od,Pešija,13:30,8,dnevni
2,B201,od,Pešija,13:50,8,dnevni
2,B201,od,Pešija,14:10,8,dnevni
2,B201,od,Pešija,14:30,8,dnevni
2,B201,od,Pešija,14:50,8,dnevni
2,B201,od,Pešija,15:08,8,dnevni
2,B201,od,Pešija,15:24,8,dnevni
2,B201,od,Pešija,15:40,8,dnevni
2,B201,od,Pešija,15:56,8,dnevni
2,B201,od,Pešija,16:12,8,dnevni
2,B201,od,Pešija,16:28,8,dnevni
2,B201,od,Pešija,16:44,8,dnevni
2,B201,od,Pešija,17:00,8,dnevni
2,B201,od,Pešija,17:20,8,dnevni
2,B201,od,Pešija,17:40,8,dnevni
2,B201,od,Pešija,18:00,8,dnevni
2,B201,od,Pešija,18:20,8,dnevni
2,B201,od,Pešija,18:40,8,dnevni
2,B201,od,Pešija,19:00,8,dnevni
2,B201,od,Pešija,19:20,8,dnevni
2,B201,od,Pešija,19:40,8,dnevni
2,B201,od,Pešija,20:00,8,dnevni
2,B201,od,Pešija,20:20,8,dnevni
2,B201,od,Pešija,20:40,8,dnevni
2,B201,od,Pešija,21:00,8,dnevni
2,B201,od,Pešija,21:20,8,dnevni
2,B201,od,Pešija,21:40,8,dnevni
2,B201,od,Pešija,22:00,8,dnevni
2,B201,od,Pešija,22:20,8,dnevni
2,B201,od,Pešija,22:40,8,dnevni
2,B201,od,Pešija,23:00,8,dnevni
2,B202,od,Krštelica,07:05,8,dnevni
2,B202,od,Krštelica,07:23,8,dnevni
2,B202,od,Krštelica,07:39,8,dnevni
2,B202,od,Krštelica,07:55,8,dnevni
2,B202,od,Krštelica,08:11,8,dnevni
2,B202,od,Krštelica,08:28,8,dnevni
2,B202,od,Krštelica,08:49,8,dnevni
2,B202,od,Krštelica,09:10,8,dnevni
2,B202,od,Krštelica,09:30,8,dnevni
2,B202,od,Krštelica,09:50,8,dnevni
2,B202,od,Krštelica,10:10,8,dnevni
2,B202,od,Krštelica,10:30,8,dnevni
2,B202,od,Krštelica,10:50,8,dnevni
2,B202,od,Krštelica,11:10,8,dnevni
2,B202,od,Krštelica,11:30,8,dnevni
2,B202,od,Krštelica,11:50,8,dnevni
2,B202,od,Krštelica,12:10,8,dnevni
2,B202,od,Krštelica,12:30,8,dnevni
2,B202,od,Krštelica,12:50,8,dnevni
2,B202,od,Krštelica,13:10,8,dnevni
2,B202,od,Krštelica,13:30,8,dnevni
2,B202,od,Krštelica,13:50,8,dnevni
2,B202,od,Krštelica,14:10,8,dnevni
2,B202,od,Krštelica,14:30,8,dnevni
2,B202,od,Krštelica,14:50,8,dnevni
2,B202,od,Krštelica,15:08,8,dnevni
2,B202,od,Krštelica,15:24,8,dnevni
2,B202,od,Krštelica,15:40,8,dnevni
2,B202,od,Krštelica,15:56,8,dnevni
2,B202,od,Krštelica,16:12,8,dnevni
2,B202,od,Krštelica,16:28,8,dnevni
2,B202,od,Krštelica,16:44,8,dnevni
2,B202,od,Krštelica,17:00,8,dnevni
2S,B202,prema,Pešija,06:50,4,dnevni
2,B202,od,Pešija,06:55,8,dnevni
2,B202,od,Pešija,07:15,8,dnevni
2,B202,od,Pešija,07:31,8,dnevni
2,B202,od,Pešija,07:47,8,dnevni
2,B202,od,Pešija,08:03,8,dnevni
2,B202,od,Pešija,08:19,8,dnevni
2,B202,od,Pešija,08:38,8,dnevni
2,B202,od,Pešija,09:00,8,dnevni
2,B202,od,Pešija,09:20,8,dnevni
2,B202,od,Pešija,09:40,8,dnevni
2,B202,od,Pešija,10:00,8,dnevni
2,B202,od,Pešija,10:20,8,dnevni
2,B202,od,Pešija,10:40,8,dnevni
2,B202,od,Pešija,11:00,8,dnevni
2,B202,od,Pešija,11:20,8,dnevni
2,B202,od,Pešija,11:40,8,dnevni
2,B202,od,Pešija,12:00,8,dnevni
2,B202,od,Pešija,12:20,8,dnevni
2,B202,od,Pešija,12:40,8,dnevni
2,B202,od,Pešija,13:00,8,dnevni
2,B202,od,Pešija,13:20,8,dnevni
2,B202,od,Pešija,13:40,8,dnevni
2,B202,od,Pešija,14:00,8,dnevni
2,B202,od,Pešija,14:20,8,dnevni
2,B202,od,Pešija,14:40,8,dnevni
2,B202,od,Pešija,15:00,8,dnevni
2,B202,od,Pešija,15:16,8,dnevni
2,B202,od,Pešija,15:32,8,dnevni
2,B202,od,Pešija,15:48,8,dnevni
2,B202,od,Pešija,16:04,8,dnevni
2,B202,od,Pešija,16:20,8,dnevni
2,B202,od,Pešija,16:36,8,dnevni
2,B202,od,Pešija,16:52,8,dnevni
2S,B202,od,Pešija,17:08,4,dnevni
3S,B301,prema,Krštelica,05:03,5,dnevni
3,B301,od,Krštelica,05:10,6,dnevni
3,B301,od,Krštelica,05:26,6,dnevni
3,B301,od,Krštelica,05:42,6,dnevni
3,B301,od,Krštelica,05:58,6,dnevni
3,B301,od,Krštelica,06:14,6,dnevni
3,B301,od,Krštelica,06:30,6,dnevni
3,B301,od,Krštelica,06:46,6,dnevni
3,B301,od,Krštelica,07:02,6,dnevni
3,B301,od,Krštelica,07:16,6,dnevni
3,B301,od,Krštelica,07:28,6,dnevni
3,B301,od,Krštelica,07:40,6,dnevni
3,B301,od,Krštelica,07:52,6,dnevni
3,B301,od,Krštelica,08:04,6,dnevni
3,B301,od,Krštelica,08:17,6,dnevni
3,B301,od,Krštelica,08:31,6,dnevni
3,B301,od,Krštelica,08:45,6,dnevni
3,B301,od,Krštelica,09:00,6,dnevni
3,B301,od,Krštelica,09:16,6,dnevni
3,B301,od,Krštelica,09:32,6,dnevni
3,B301,od,Krštelica,09:48,6,dnevni
3,B301,od,Krštelica,10:04,6,dnevni
3,B301,od,Krštelica,10:20,6,dnevni
3,B301,od,Krštelica,10:36,6,dnevni
3,B301,od,Krštelica,10:52,6,dnevni
3,B301,od,Krštelica,11:08,6,dnevni
3,B301,od,Krštelica,11:24,6,dnevni
3,B301,od,Krštelica,11:40,6,dnevni
3,B301,od,Krštelica,11:56,6,dnevni
3,B301,od,Krštelica,12:12,6,dnevni
3,B301,od,Krštelica,12:28,6,dnevni
3,B301,od,Krštelica,12:44,6,dnevni
3,B301,od,Krštelica,13:00,6,dnevni
3,B301,od,Krštelica,13:16,6,dnevni
3,B301,od,Krštelica,13:32,6,dnevni
3,B301,od,Krštelica,13:48,6,dnevni
3,B301,od,Krštelica,14:04,6,dnevni
3,B301,od,Krštelica,14:20,6,dnevni
3,B301,od,Krštelica,14:36,6,dnevni
3,B301,od,Krštelica,14:52,6,dnevni
3,B301,od,Krštelica,15:07,6,dnevni
3,B301,od,Krštelica,15:23,6,dnevni
3,B301,od,Krštelica,15:36,6,dnevni
3,B301,od,Krštelica,15:48,6,dnevni
3,B301,od,Krštelica,16:00,6,dnevni
3,B301,od,Krštelica,16:12,6,dnevni
3,B301,od,Krštelica,16:24,6,dnevni
3,B301,od,Krštelica,16:37,6,dnevni
3,B301,od,Krštelica,16:51,6,dnevni
3,B301,od,Krštelica,17:07,6,dnevni
3,B301,od,Krštelica,17:23,6,dnevni
3,B301,od,Krštelica,17:39,6,dnevni
3,B301,od,Krštelica,17:55,6,dnevni
3,B301,od,Krštelica,18:11,6,dnevni
3,B301,od,Krštelica,18:27,6,dnevni
3,B301,od,Krštelica,18:43,6,dnevni
3,B301,od,Krštelica,18:59,6,dnevni
3,B301,od,Krštelica,19:15,6,dnevni
3,B301,od,Krštelica,19:31,6,dnevni
3,B301,od,Krštelica,19:47,6,dnevni
3,B301,od,Krštelica,20:03,6,dnevni
3,B301,od,Krštelica,20:19,6,dnevni
3,B301,od,Krštelica,20:35,6,dnevni
3,B301,od,Krštelica,20:51,6,dnevni
3,B301,od,Krštelica,21:07,6,dnevni
3,B301,od,Krštelica,21:23,6,dnevni
3,B301,od,Krštelica,21:39,6,dnevni
3,B301,od,Krštelica,21:55,6,dnevni
3,B301,od,Krštelica,22:11,6,dnevni
3S,B301,od,Krštelica,22:27,5,dnevni
3,B301,od,Prispa,05:18,6,dnevni
3,B301,od,Prispa,05:34,6,dnevni
3,B301,od,Prispa,05:50,6,dnevni
3,B301,od,Prispa,06:06,6,dnevni
3,B301,od,Prispa,06:22,6,dnevni
3,B301,od,Prispa,06:38,6,dnevni
3,B301,od,Prispa,06:54,6,dnevni
3,B301,od,Prispa,07:10,6,dnevni
3,B301,od,Prispa,07:22,6,dnevni
3,B301,od,Prispa,07:34,6,dnevni
3,B301,od,Prispa,07:46,6,dnevni
3,B301,od,Prispa,07:58,6,dnevni
3,B301,od,Prispa,08:10,6,dnevni
3,B301,od,Prispa,08:24,6,dnevni
3,B301,od,Prispa,08:38,6,dnevni
3,B301,od,Prispa,08:52,6,dnevni
3,B301,od,Prispa,09:08,6,dnevni
3,B301,od,Prispa,09:24,6,dnevni
3,B301,od,Prispa,09:40,6,dnevni
3,B301,od,Prispa,09:56,6,dnevni
3,B301,od,Prispa,10:12,6,dnevni
3,B301,od,Prispa,10:28,6,dnevni
3,B301,od,Prispa,10:44,6,dnevni
3,B301,od,Prispa,11:00,6,dnevni
3,B301,od,Prispa,11:16,6,dnevni
3,B301,od,Prispa,11:32,6,dnevni
3,B301,od,Prispa,11:48,6,dnevni
3,B301,od,Prispa,12:04,6,dnevni
3,B301,od,Prispa,12:20,6,dnevni
3,B301,od,Prispa,12:36,6,dnevni
3,B301,od,Prispa,12:52,6,dnevni
3,B301,od,Prispa,13:08,6,dnevni
3,B301,od,Prispa,13:24,6,dnevni
3,B301,od,Prispa,13:40,6,dnevni
3,B301,od,Prispa,13:56,6,dnevni
3,B301,od,Prispa,14:12,6,dnevni
3,B301,od,Prispa,14:28,6,dnevni
3,B301,od,Prispa,14:44,6,dnevni
3,B301,od,Prispa,15:00,6,dnevni
3,B301,od,Prispa,15:15,6,dnevni
3,B301,od,Prispa,15:30,6,dnevni
3,B301,od,Prispa,15:42,6,dnevni
3,B301,od,Prispa,15:54,6,dnevni
3,B301,od,Prispa,16:06,6,dnevni
3,B301,od,Prispa,16:18,6,dnevni
3,B301,od,Prispa,16:30,6,dnevni
3,B301,od,Prispa,16:44,6,dnevni
3,B301,od,Prispa,16:59,6,dnevni
3,B301,od,Prispa,17:15,6,dnevni
3,B301,od,Prispa,17:31,6,dnevni
3,B301,od,Prispa,17:47,6,dnevni
3,B301,od,Prispa,18:03,6,dnevni
3,B301,od,Prispa,18:19,6,dnevni
3,B301,od,Prispa,18:35,6,dnevni
3,B301,od,Prispa,18:51,6,dnevni
3,B301,od,Prispa,19:07,6,dnevni
3,B301,od,Prispa,19:23,6,dnevni
3,B301,od,Prispa,19:39,6,dnevni
3,B301,od,Prispa,19:55,6,dnevni
3,B301,od,Prispa,20:11,6,dnevni
3,B301,od,Prispa,20:27,6,dnevni
3,B301,od,Prispa,20:43,6,dnevni
3,B301,od,Prispa,20:59,6,dnevni
3,B301,od,Prispa,21:15,6,dnevni
3,B301,od,Prispa,21:31,6,dnevni
3,B301,od,Prispa,21:47,6,dnevni
3,B301,od,Prispa,22:03,6,dnevni
3,B301,od,Prispa,22:19,6,dnevni
3,B302,od,Krštelica,07:10,6,dnevni
3,B302,od,Krštelica,07:22,6,dnevni
3,B302,od,Krštelica,07:34,6,dnevni
3,B302,od,Krštelica,07:46,6,dnevni
3,B302,od,Krštelica,07:58,6,dnevni
3,B302,od,Krštelica,08:10,6,dnevni
3,B302,od,Krštelica,08:24,6,dnevni
3,B302,od,Krštelica,08:38,6,dnevni
3,B302,od,Krštelica,08:52,6,dnevni
3,B302,od,Krštelica,09:08,6,dnevni
3,B302,od,Krštelica,09:24,6,dnevni
3,B302,od,Krštelica,09:40,6,dnevni
3,B302,od,Krštelica,09:56,6,dnevni
3,B302,od,Krštelica,10:12,6,dnevni
3,B302,od,Krštelica,10:28,6,dnevni
3,B302,od,Krštelica,10:44,6,dnevni
3,B302,od,Krštelica,11:00,6,dnevni
3,B302,od,Krštelica,11:16,6,dnevni
3,B302,od,Krštelica,11:32,6,dnevni
3,B302,od,Krštelica,11:48,6,dnevni
3,B302,od,Krštelica,12:04,6,dnevni
3,B302,od,Krštelica,12:20,6,dnevni
3,B302,od,Krštelica,12:36,6,dnevni
3,B302,od,Krštelica,12:52,6,dnevni
3,B302,od,Krštelica,13:08,6,dnevni
3,B302,od,Krštelica,13:24,6,dnevni
3,B302,od,Krštelica,13:40,6,dnevni
3,B302,od,Krštelica,13:56,6,dnevni
3,B302,od,Krštelica,14:12,6,dnevni
3,B302,od,Krštelica,14:28,6,dnevni
3,B302,od,Krštelica,14:44,6,dnevni
3,B302,od,Krštelica,15:00,6,dnevni
3,B302,od,Krštelica,15:15,6,dnevni
3,B302,od,Krštelica,15:30,6,dnevni
3,B302,od,Krštelica,15:42,6,dnevni
3,B302,od,Krštelica,15:54,6,dnevni
3,B302,od,Krštelica,16:06,6,dnevni
3,B302,od,Krštelica,16:18,6,dnevni
3,B302,od,Krštelica,16:30,6,dnevni
3,B302,od,Krštelica,16:44,6,dnevni
3S,B302,prema,Prispa,07:00,1,dnevni
3,B302,od,Prispa,07:02,6,dnevni
3,B302,od,Prispa,07:16,6,dnevni
3,B302,od,Prispa,07:28,6,dnevni
3,B302,od,Prispa,07:40,6,dnevni
3,B302,od,Prispa,07:52,6,dnevni
3,B302,od,Prispa,08:04,6,dnevni
3,B302,od,Prispa,08:17,6,dnevni
3,B302,od,Prispa,08:31,6,dnevni
3,B302,od,Prispa,08:45,6,dnevni
3,B302,od,Prispa,09:00,6,dnevni
3,B302,od,Prispa,09:16,6,dnevni
3,B302,od,Prispa,09:32,6,dnevni
3,B302,od,Prispa,09:48,6,dnevni
3,B302,od,Prispa,10:04,6,dnevni
3,B302,od,Prispa,10:20,6,dnevni
3,B302,od,Prispa,10:36,6,dnevni
3,B302,od,Prispa,10:52,6,dnevni
3,B302,od,Prispa,11:08,6,dnevni
3,B302,od,Prispa,11:24,6,dnevni
3,B302,od,Prispa,11:40,6,dnevni
3,B302,od,Prispa,11:56,6,dnevni
3,B302,od,Prispa,12:12,6,dnevni
3,B302,od,Prispa,12:28,6,dnevni
3,B302,od,Prispa,12:44,6,dnevni
3,B302,od,Prispa,13:00,6,dnevni
3,B302,od,Prispa,13:16,6,dnevni
3,B302,od,Prispa,13:32,6,dnevni
3,B302,od,Prispa,13:48,6,dnevni
3,B302,od,Prispa,14:04,6,dnevni
3,B302,od,Prispa,14:20,6,dnevni
3,B302,od,Prispa,14:36,6,dnevni
3,B302,od,Prispa,14:52,6,dnevni
3,B302,od,Prispa,15:07,6,dnevni
3,B302,od,Prispa,15:23,6,dnevni
3,B302,od,Prispa,15:36,6,dnevni
3,B302,od,Prispa,15:48,6,dnevni
3,B302,od,Prispa,16:00,6,dnevni
3,B302,od,Prispa,16:12,6,dnevni
3,B302,od,Prispa,16:24,6,dnevni
3,B302,od,Prispa,16:37,6,dnevni
3S,B302,od,Prispa,16:51,1,dnevni
4S,B401,prema,Gomilice,05:23,4,dnevni
4,B401,od,Gomilice,05:30,5,dnevni
4,B401,od,Gomilice,05:50,5,dnevni
4,B401,od,Gomilice,06:10,5,dnevni
4,B401,od,Gomilice,06:30,5,dnevni
4,B401,od,Gomilice,06:50,5,dnevni
4,B401,od,Gomilice,07:08,5,dnevni
4,B401,od,Gomilice,07:24,5,dnevni
4,B401,od,Gomilice,07:40,5,dnevni
4,B401,od,Gomilice,07:56,5,dnevni
4,B401,od,Gomilice,08:12,5,dnevni
4,B401,od,Gomilice,08:28,5,dnevni
4,B401,od,Gomilice,08:44,5,dnevni
4,B401,od,Gomilice,09:00,5,dnevni
4,B401,od,Gomilice,09:20,5,dnevni
4,B401,od,Gomilice,09:40,5,dnevni
4,B401,od,Gomilice,10:00,5,dnevni
4,B401,od,Gomilice,10:20,5,dnevni
4,B401,od,Gomilice,10:40,5,dnevni
4,B401,od,Gomilice,11:00,5,dnevni
4,B401,od,Gomilice,11:20,5,dnevni
4,B401,od,Gomilice,11:40,5,dnevni
4,B401,od,Gomilice,12:00,5,dnevni
4,B401,od,Gomilice,12:20,5,dnevni
4,B401,od,Gomilice,12:40,5,dnevni
4,B401,od,Gomilice,13:00,5,dnevni
4,B401,od,Gomilice,13:20,5,dnevni
4,B401,od,Gomilice,13:40,5,dnevni
4,B401,od,Gomilice,14:00,5,dnevni
4,B401,od,Gomilice,14:20,5,dnevni
4,B401,od,Gomilice,14:40,5,dnevni
4,B401,od,Gomilice,15:00,5,dnevni
4,B401,od,Gomilice,15:18,5,dnevni
4,B401,od,Gomilice,15:34,5,dnevni
4,B401,od,Gomilice,15:50,5,dnevni
4,B401,od,Gomilice,16:06,5,dnevni
4,B401,od,Gomilice,16:22,5,dnevni
